StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID4_Browser,QID4_Version,QID4_Operating System,QID4_Resolution,Repeat_Password,CrowdWorksID,ParticipantID,cwid,Condition
開始日,終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,受信者の姓,受信者の名,受信者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,クリックして質問文を記述 - ブラウザー,クリックして質問文を記述 - バージョン,クリックして質問文を記述 - オペレーティングシステム,クリックして質問文を記述 - 解像度,確認のため、上記のパスワードを入力してください。,"あなたのクラウドワークスIDを半角英数字でお答えください。
※すべての回答が終わると、CrowdWorksのサイトに遷移します。




CrowdWorksIDの確認方法

CrowdWorksのページ右上のユーザー名をクリック
「自分の公開ページを確認」をクリックし，マイページを表示
マイページのURLの下6桁～8桁の数字が、あなたのCrowdWorksIDです。

   例: https://crowdworks.jp/public/employees/1234567 → 1234567

    ※URLの「employees」の部分が「employer」になっている場合もあります。",ParticipantID,cwid,Condition
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_BROWSER""}","{""ImportId"":""QID4_VERSION""}","{""ImportId"":""QID4_OS""}","{""ImportId"":""QID4_RESOLUTION""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""ParticipantID""}","{""ImportId"":""cwid""}","{""ImportId"":""Condition""}"
2024-03-22 12:51:36,2024-03-22 12:52:07,0,60.65.47.21,100,31,1,2024-03-22 12:52:08,R_445Jdsi0JnSK2XK,,,,,35.8292,139.6789,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1536x864,RO42928,4287323,42928,4287323,B
2024-03-22 12:57:47,2024-03-22 12:58:04,0,123.225.205.5,100,17,1,2024-03-22 12:58:05,R_4k4KfPANSySJH80,,,,,35.8895,139.7934,anonymous,JA,Edge,122.0.0.0,Windows NT 10.0,2560x1440,RO72089,1791041,72089,1791041,B
2024-03-22 12:57:31,2024-03-22 12:58:24,0,61.213.27.107,100,52,1,2024-03-22 12:58:24,R_494uQVu502BSHz4,,,,,35.6143,140.1062,anonymous,JA,Chrome,123.0.0.0,Windows NT 10.0,1366x768,RO82675,2613017,82675,2613017,A
2024-03-22 12:59:09,2024-03-22 12:59:41,0,118.104.75.197,100,32,1,2024-03-22 12:59:42,R_4GvkcjzhAf35deB,,,,,34.6988,137.7338,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1366x768,RO77471,1181538,77471,1181538,B
2024-03-22 13:02:50,2024-03-22 13:03:25,0,182.165.128.227,100,34,1,2024-03-22 13:03:25,R_4ml8x7hGjQ5KvwO,,,,,34.6886,135.1959,anonymous,JA,Chrome,123.0.0.0,Windows NT 10.0,1280x800,RO78023,5231896,78023,5231896,A
2024-03-22 13:02:56,2024-03-22 13:03:27,0,61.87.33.3,100,30,1,2024-03-22 13:03:27,R_4skPdeWHbsegQU1,,,,,35.7631,139.6554,anonymous,JA,Edge,122.0.0.0,Windows NT 10.0,1024x640,RO37360,1822057,37360,1822057,A
2024-03-22 13:03:29,2024-03-22 13:04:02,0,153.243.25.139,100,33,1,2024-03-22 13:04:03,R_4KvhGEbz8jqDoah,,,,,35.6837,139.6805,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1536x864,RO74769,312376,74769,312376,A
2024-03-22 13:03:47,2024-03-22 13:04:11,0,203.189.35.126,100,23,1,2024-03-22 13:04:11,R_4VdA6GRGWHkflNh,,,,,34.0788,131.7742,anonymous,JA,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,RO42502,4189255,42502,4189255,A
2024-03-22 13:04:17,2024-03-22 13:04:47,0,133.106.35.156,100,29,1,2024-03-22 13:04:48,R_4meipuNx64u8PU5,,,,,35.6887,139.745,anonymous,JA,Chrome,122.0.0.0,Linux x86_64,720x1152,RO15683,3266322,15683,3266322,A
2024-03-22 13:04:53,2024-03-22 13:05:23,0,180.31.200.103,100,30,1,2024-03-22 13:05:24,R_4B8gsr9IqgpcaDT,,,,,36.392,140.2939,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1440x900,RO39545,2141268,39545,2141268,B
2024-03-22 13:05:10,2024-03-22 13:05:51,0,60.120.2.143,100,41,1,2024-03-22 13:05:52,R_4UVDd37UOgOuvQB,,,,,35.7821,139.6984,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1920x1080,RO27382,4290757,27382,4290757,B
2024-03-22 13:05:15,2024-03-22 13:05:56,0,219.104.98.104,100,41,1,2024-03-22 13:05:57,R_4A1nWX8Onu3E3qt,,,,,33.0222,130.4475,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1366x768,RO80336,2810580,80336,2810580,C
2024-03-22 13:05:31,2024-03-22 13:06:02,0,136.23.34.9,100,30,1,2024-03-22 13:06:02,R_4dWPyFVjjNHPoA4,,,,,35.6897,139.6895,anonymous,JA,Edge,122.0.0.0,Windows NT 10.0,1536x864,RO23082,5039480,23082,5039480,C
2024-03-22 13:05:50,2024-03-22 13:06:28,0,180.198.153.70,100,38,1,2024-03-22 13:06:28,R_4TsEviZbvogYgxp,,,,,34.9701,136.6171,anonymous,JA,Edge,122.0.0.0,Windows NT 10.0,1536x864,RO58496,2106307,58496,2106307,C
2024-03-22 13:06:21,2024-03-22 13:06:59,0,182.169.168.83,100,38,1,2024-03-22 13:06:59,R_4QMJ61JBBDBCeLK,,,,,35.2786,139.6477,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1536x864,RO36589,4093278,36589,4093278,C
2024-03-22 13:06:37,2024-03-22 13:07:05,0,180.30.22.11,100,27,1,2024-03-22 13:07:05,R_4HcsFWtPkHgWf6P,,,,,34.834,134.6949,anonymous,JA,Chrome,122.0.0.0,Macintosh,1440x900,RO53117,198468,53117,198468,C
2024-03-22 13:06:52,2024-03-22 13:07:06,0,27.95.216.41,100,13,1,2024-03-22 13:07:06,R_4Hr2YlIB70vNOcF,,,,,35.3376,139.4184,anonymous,JA,Edge,122.0.0.0,Windows NT 10.0,1280x720,RO71651,1359285,71651,1359285,C
2024-03-22 13:06:44,2024-03-22 13:07:33,0,180.197.124.47,100,49,1,2024-03-22 13:07:34,R_4Nf6bZrxRfzXgyR,,,,,35.833,136.9456,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1920x1080,RO50189,3312891,50189,3312891,B
2024-03-22 13:08:15,2024-03-22 13:08:46,0,27.92.154.27,100,30,1,2024-03-22 13:08:46,R_42JwsAbUX1xJbDj,,,,,35.4643,139.6262,anonymous,JA,Chrome,122.0.0.0,Macintosh,1440x900,RO44327,4662595,44327,4662595,B
2024-03-22 13:09:30,2024-03-22 13:10:04,0,115.30.226.164,100,34,1,2024-03-22 13:10:05,R_42yiUQUzihFLwH7,,,,,34.3316,134.0452,anonymous,JA,Chrome,123.0.0.0,Windows NT 10.0,1280x720,RO41352,5261619,41352,5261619,B
2024-03-22 13:09:27,2024-03-22 13:10:24,0,27.85.112.107,100,57,1,2024-03-22 13:10:25,R_4XVKo2xCAVdeog1,,,,,34.8567,135.5998,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1920x1080,RO97587,4854693,97587,4854693,B
2024-03-22 13:10:11,2024-03-22 13:10:31,0,61.86.53.105,100,19,1,2024-03-22 13:10:31,R_4xMnIsOMXEA8pbH,,,,,34.6813,135.6958,anonymous,JA,Chrome,122.0.0.0,Windows NT 10.0,1536x864,RO29875,5398551,29875,5398551,C
