"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","cwid","Condition","StartTime","EndTime","rt","response","task","init_locations","moves","final_locations","TrialType","SetType","FinStimID","NID","Topic","Vehicle","NumFeatures","F1","F2","F3","TargetDirTopic","TargetDirVehicle","TargetDirF1","TargetDirF2","TargetDirF3","iniloc_T_x","iniloc_T_y","iniloc_V_x","iniloc_V_y","iniloc_F1_x","iniloc_F1_y","iniloc_F2_x","iniloc_F2_y","iniloc_F3_x","iniloc_F3_y","finloc_T_x","finloc_T_y","finloc_V_x","finloc_V_y","finloc_F1_x","finloc_F1_y","finloc_F2_x","finloc_F2_y","finloc_F3_x","finloc_F3_y","stimulus"
"1",,"Array","Array","Array","preload","0","2","0.0-0.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1",NULL,NULL,NULL,NULL,"fullscreen","1","2649","0.0-1.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"survey-html-form","2","5753","0.0-2.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","3102","Array","instruction_1a",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"survey-html-form","3","12969","0.0-3.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","7215","Array","instruction_1b",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"survey-html-form","4","21255","0.0-4.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","8285","Array","instruction_1c",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"free-sort","5","29816","0.0-5.0-0.0-0.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","8560",NULL,"MultiArrangementTask","Array","Array","Array","Practice","P","P1","E06","幸福","黄金","3","大切だ","価値がある","輝かしい","stimulus/images/practice/e06_T.png",NULL,"stimulus/images/practice/e06_F1.png","stimulus/images/practice/e06_F2.png","stimulus/images/practice/e06_F3.png","96","175","396","194","87","304","361","162","216","442","80","260","400","260","87","304","128","256","106","285",NULL
NULL,NULL,NULL,NULL,NULL,"free-sort","6","33806","0.0-5.0-1.0-0.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","3990",NULL,"MultiArrangementTask","Array","Array","Array","Practice","P","P2","E13","弾丸","ロケット","1","速い",,,"stimulus/images/practice/e13_T.png",NULL,"stimulus/images/practice/e13_F1.png",,,"382","277","107","57","333","306",NULL,NULL,NULL,NULL,"80","260","400","260","115","318",NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"free-sort","7","37549","0.0-5.0-2.0-0.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","3742",NULL,"MultiArrangementTask","Array","Array","Array","Practice","P","P3","E48","結婚","冷蔵庫","2","物が詰まる","冷やす",,"stimulus/images/practice/e48_T.png",NULL,"stimulus/images/practice/e48_F1.png","stimulus/images/practice/e48_F2.png",,"313","248","4","90","296","142","6","405",NULL,NULL,"80","260","400","260","97","211","445","307",NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"survey-html-form","8","38291","0.0-6.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","740","Array","instruction_1d",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,"free-sort","9","41043","0.0-7.0-0.0-0.0","4287323","B","2024/3/22 12:47:44","2024/3/22 12:51:28","2752",NULL,"MultiArrangementTask","Array","Array","Array","Main","B","26","52","仕事","牢獄（ろうごく）","1","つらい",,,"stimulus/images/main/n52_T.png",NULL,"stimulus/images/main/n52_F1.png",,,"205","145","384","203","284","71",NULL,NULL,NULL,NULL,"80","260","400","260","77","232",NULL,NULL,NULL,NULL,NULL
