NID,AveDist_T_F1_1,AveDist_T_F1_2,AveDist_T_F1_3,AveDist_T_F2_1,AveDist_T_F2_2,AveDist_T_F2_3,AveDist_T_F3_1,AveDist_T_F3_2,AveDist_T_F3_3,AveDist_V_F1_1,AveDist_V_F1_2,AveDist_V_F1_3,AveDist_V_F2_1,AveDist_V_F2_2,AveDist_V_F2_3,AveDist_V_F3_1,AveDist_V_F3_2,AveDist_V_F3_3,AveDist_F1_F2_1,AveDist_F1_F2_2,AveDist_F1_F2_3,AveDist_F1_F3_1,AveDist_F1_F3_2,AveDist_F1_F3_3,AveDist_F2_F3_1,AveDist_F2_F3_2,AveDist_F2_F3_3,AveAptness_1,AveAptness_2,AveAptness_3
105,268.3851484,293.4849368,287.6762973,NA,207.7578815,211.3075218,NA,NA,289.7088495,98.27524419,90.77544785,87.71986124,NA,132.7628484,125.991677,NA,NA,132.1893466,NA,141.356469,136.4019691,NA,NA,120.2245403,NA,NA,111.4545487,4.613636364,4.96969697,5.2
110,193.6614217,239.6612634,247.95529,NA,122.1043238,129.755589,NA,NA,154.9403092,143.0557993,115.074356,114.3733292,NA,218.7663752,229.0854538,NA,NA,233.4929886,NA,156.7728597,166.0348582,NA,NA,182.2938798,NA,NA,147.9341673,3.175,3.113636364,3.666666667
112,75.77758538,107.0770126,110.2062564,NA,87.18442991,82.19206205,NA,NA,324.7975132,277.1826825,234.9264016,243.8649691,NA,275.8730728,281.220837,NA,NA,281.6352561,NA,101.0954733,98.862761,NA,NA,245.7687913,NA,NA,284.989372,2,2.3,1.931818182
117,306.510648,315.9130513,321.9345278,NA,123.7851568,138.7253671,NA,NA,197.4765548,69.81015334,59.06343132,79.4439044,NA,225.4069857,220.3336528,NA,NA,219.9409979,NA,226.6885786,238.4312865,NA,NA,167.5031735,NA,NA,135.7224705,3.666666667,4.25,3.954545455
119,246.1403969,240.133203,251.5123773,NA,215.6533395,240.3745282,NA,NA,118.499404,98.59179421,103.9924954,112.1958118,NA,117.6026247,115.7565139,NA,NA,109.9031631,NA,106.7564031,120.4158652,NA,NA,181.862311,NA,NA,179.646774,5.121212121,5.575,5.340909091
12,125.2833456,114.3693048,129.5978633,NA,122.6898357,114.4729369,NA,NA,254.1253516,220.2702929,245.0003475,231.2433018,NA,235.0245882,243.4752501,NA,NA,241.4500717,NA,107.4613316,109.975414,NA,NA,191.7053901,NA,NA,192.4912782,4.431818182,4.636363636,5.875
14,183.1831622,187.906988,183.8535822,NA,156.6221803,167.5842237,NA,NA,202.3985376,150.1758341,143.3865236,152.8280965,NA,182.6036983,173.2619009,NA,NA,173.6001366,NA,113.8915289,106.2501356,NA,NA,108.6118534,NA,NA,117.1172707,6.045454545,5.818181818,5.975
16,247.1076016,270.5345527,264.6428527,NA,240.4000294,205.5730708,NA,NA,214.4845117,95.53884777,96.45269089,106.0874055,NA,112.2646631,147.0422049,NA,NA,139.2191441,NA,110.2393296,125.3688946,NA,NA,119.9699204,NA,NA,131.2575638,5.65,5.659090909,5.727272727
17,225.9982951,266.5124667,248.9738118,NA,144.9304345,162.0444417,NA,NA,212.4853368,120.3301591,100.2971394,119.9283046,NA,187.4717565,185.7566699,NA,NA,189.2109576,NA,173.8545605,161.1235226,NA,NA,133.1811967,NA,NA,147.569619,4,4.725,5.136363636
19,192.1363203,193.7052896,200.5638716,NA,237.2684165,254.8306156,NA,NA,157.5435089,146.0397458,144.2694562,158.3838762,NA,103.7010087,106.9335559,NA,NA,103.005294,NA,114.8260749,137.5843686,NA,NA,134.4556489,NA,NA,159.0350992,5.787878788,5.5,5.818181818
